r = 0.3,upperCap = 50,,,
NodeID,X,Y,EdgeTo,Capacity
0,0.66,0.46,8,3
0,0.66,0.46,72,29
0,0.66,0.46,73,35
0,0.66,0.46,89,20
0,0.66,0.46,103,44
0,0.66,0.46,108,33
0,0.66,0.46,121,42
0,0.66,0.46,127,4
0,0.66,0.46,135,13
0,0.66,0.46,159,40
1,0.39,0.89,60,34
1,0.39,0.89,85,34
1,0.39,0.89,101,44
1,0.39,0.89,104,23
1,0.39,0.89,162,28
1,0.39,0.89,184,35
2,0.75,0.36,0,6
2,0.75,0.36,3,1
2,0.75,0.36,8,42
2,0.75,0.36,9,42
2,0.75,0.36,11,17
2,0.75,0.36,12,20
2,0.75,0.36,21,7
2,0.75,0.36,26,43
2,0.75,0.36,27,20
2,0.75,0.36,28,34
2,0.75,0.36,32,0
2,0.75,0.36,33,41
2,0.75,0.36,41,4
2,0.75,0.36,43,21
2,0.75,0.36,54,20
2,0.75,0.36,57,14
2,0.75,0.36,58,13
2,0.75,0.36,71,16
2,0.75,0.36,72,25
2,0.75,0.36,73,13
2,0.75,0.36,74,37
2,0.75,0.36,77,40
2,0.75,0.36,78,18
2,0.75,0.36,80,22
2,0.75,0.36,82,3
2,0.75,0.36,89,19
2,0.75,0.36,93,6
2,0.75,0.36,95,34
2,0.75,0.36,100,4
2,0.75,0.36,103,2
2,0.75,0.36,106,49
2,0.75,0.36,108,24
2,0.75,0.36,115,48
2,0.75,0.36,117,39
2,0.75,0.36,120,45
2,0.75,0.36,124,47
2,0.75,0.36,130,25
2,0.75,0.36,143,44
2,0.75,0.36,145,11
2,0.75,0.36,149,1
2,0.75,0.36,152,32
2,0.75,0.36,157,14
2,0.75,0.36,159,16
2,0.75,0.36,163,49
2,0.75,0.36,164,1
2,0.75,0.36,165,41
2,0.75,0.36,174,15
2,0.75,0.36,178,16
2,0.75,0.36,179,7
2,0.75,0.36,180,18
2,0.75,0.36,186,28
2,0.75,0.36,191,40
2,0.75,0.36,193,44
2,0.75,0.36,199,29
3,0.48,0.49,0,14
3,0.48,0.49,6,44
3,0.48,0.49,8,24
3,0.48,0.49,11,8
3,0.48,0.49,13,13
3,0.48,0.49,16,22
3,0.48,0.49,18,45
3,0.48,0.49,21,38
3,0.48,0.49,34,8
3,0.48,0.49,35,27
3,0.48,0.49,49,14
3,0.48,0.49,57,20
3,0.48,0.49,60,37
3,0.48,0.49,64,7
3,0.48,0.49,72,44
3,0.48,0.49,73,45
3,0.48,0.49,78,43
3,0.48,0.49,96,20
3,0.48,0.49,100,35
3,0.48,0.49,101,38
3,0.48,0.49,106,17
3,0.48,0.49,108,22
3,0.48,0.49,109,0
3,0.48,0.49,121,12
3,0.48,0.49,127,49
3,0.48,0.49,135,45
3,0.48,0.49,146,22
3,0.48,0.49,148,4
3,0.48,0.49,161,27
3,0.48,0.49,165,9
3,0.48,0.49,171,43
3,0.48,0.49,181,1
3,0.48,0.49,184,37
3,0.48,0.49,186,24
3,0.48,0.49,192,2
3,0.48,0.49,193,44
3,0.48,0.49,199,32
4,0.11,0.25,6,3
4,0.11,0.25,13,43
4,0.11,0.25,22,33
4,0.11,0.25,29,25
4,0.11,0.25,37,16
4,0.11,0.25,38,34
4,0.11,0.25,51,11
4,0.11,0.25,55,9
4,0.11,0.25,65,22
4,0.11,0.25,66,6
4,0.11,0.25,116,14
4,0.11,0.25,119,20
4,0.11,0.25,169,10
4,0.11,0.25,177,30
4,0.11,0.25,187,44
4,0.11,0.25,195,13
5,0.27,0.56,3,40
5,0.27,0.56,6,21
5,0.27,0.56,13,26
5,0.27,0.56,16,45
5,0.27,0.56,18,26
5,0.27,0.56,29,27
5,0.27,0.56,31,3
5,0.27,0.56,35,15
5,0.27,0.56,36,8
5,0.27,0.56,49,18
5,0.27,0.56,50,33
5,0.27,0.56,53,30
5,0.27,0.56,59,18
5,0.27,0.56,64,31
5,0.27,0.56,69,46
5,0.27,0.56,75,42
5,0.27,0.56,76,37
5,0.27,0.56,81,33
5,0.27,0.56,83,48
5,0.27,0.56,84,46
5,0.27,0.56,85,13
5,0.27,0.56,96,34
5,0.27,0.56,101,13
5,0.27,0.56,104,44
5,0.27,0.56,105,18
5,0.27,0.56,109,47
5,0.27,0.56,110,9
5,0.27,0.56,121,20
5,0.27,0.56,128,20
5,0.27,0.56,131,26
5,0.27,0.56,135,0
5,0.27,0.56,144,47
5,0.27,0.56,146,8
5,0.27,0.56,148,44
5,0.27,0.56,150,3
5,0.27,0.56,151,5
5,0.27,0.56,160,19
5,0.27,0.56,171,17
5,0.27,0.56,182,30
5,0.27,0.56,185,5
5,0.27,0.56,188,22
5,0.27,0.56,192,11
5,0.27,0.56,196,8
6,0.19,0.49,13,7
6,0.19,0.49,16,30
6,0.19,0.49,29,49
6,0.19,0.49,31,45
6,0.19,0.49,51,39
6,0.19,0.49,59,2
6,0.19,0.49,65,19
6,0.19,0.49,76,35
6,0.19,0.49,83,48
6,0.19,0.49,101,43
6,0.19,0.49,105,36
6,0.19,0.49,109,42
6,0.19,0.49,119,2
6,0.19,0.49,121,30
6,0.19,0.49,135,11
6,0.19,0.49,150,27
6,0.19,0.49,151,7
6,0.19,0.49,171,40
6,0.19,0.49,192,38
6,0.19,0.49,195,25
6,0.19,0.49,196,9
7,0.86,0.67,0,28
7,0.86,0.67,10,30
7,0.86,0.67,21,42
7,0.86,0.67,42,9
7,0.86,0.67,82,46
7,0.86,0.67,103,31
7,0.86,0.67,124,24
7,0.86,0.67,127,20
7,0.86,0.67,147,5
7,0.86,0.67,158,26
7,0.86,0.67,159,45
7,0.86,0.67,164,26
7,0.86,0.67,167,49
7,0.86,0.67,181,11
7,0.86,0.67,193,28
8,0.59,0.23,20,43
8,0.59,0.23,72,46
8,0.59,0.23,73,26
8,0.59,0.23,89,37
8,0.59,0.23,114,5
8,0.59,0.23,178,34
9,0.88,0.51,0,31
9,0.88,0.51,7,29
9,0.88,0.51,10,48
9,0.88,0.51,11,18
9,0.88,0.51,21,49
9,0.88,0.51,27,39
9,0.88,0.51,43,36
9,0.88,0.51,54,26
9,0.88,0.51,72,41
9,0.88,0.51,73,26
9,0.88,0.51,74,12
9,0.88,0.51,82,15
9,0.88,0.51,89,21
9,0.88,0.51,95,44
9,0.88,0.51,100,38
9,0.88,0.51,103,7
9,0.88,0.51,117,6
9,0.88,0.51,120,1
9,0.88,0.51,124,26
9,0.88,0.51,127,47
9,0.88,0.51,147,22
9,0.88,0.51,152,5
9,0.88,0.51,157,40
9,0.88,0.51,159,18
9,0.88,0.51,163,45
9,0.88,0.51,164,41
9,0.88,0.51,165,40
9,0.88,0.51,179,30
9,0.88,0.51,181,14
9,0.88,0.51,193,46
10,0.88,0.72,42,13
10,0.88,0.72,103,10
10,0.88,0.72,127,38
10,0.88,0.72,147,43
10,0.88,0.72,158,38
10,0.88,0.72,164,18
10,0.88,0.72,167,46
11,0.59,0.45,0,34
11,0.59,0.45,8,16
11,0.59,0.45,13,27
11,0.59,0.45,16,11
11,0.59,0.45,21,0
11,0.59,0.45,27,10
11,0.59,0.45,57,31
11,0.59,0.45,72,1
11,0.59,0.45,73,12
11,0.59,0.45,89,9
11,0.59,0.45,103,47
11,0.59,0.45,108,40
11,0.59,0.45,121,32
11,0.59,0.45,124,25
11,0.59,0.45,127,22
11,0.59,0.45,135,16
11,0.59,0.45,159,46
11,0.59,0.45,161,11
11,0.59,0.45,171,28
11,0.59,0.45,179,23
11,0.59,0.45,186,33
12,0.71,0.58,0,23
12,0.71,0.58,3,40
12,0.71,0.58,7,11
12,0.71,0.58,9,12
12,0.71,0.58,10,21
12,0.71,0.58,11,49
12,0.71,0.58,21,4
12,0.71,0.58,26,27
12,0.71,0.58,27,34
12,0.71,0.58,34,40
12,0.71,0.58,43,42
12,0.71,0.58,49,22
12,0.71,0.58,57,6
12,0.71,0.58,60,23
12,0.71,0.58,71,8
12,0.71,0.58,73,33
12,0.71,0.58,74,30
12,0.71,0.58,82,40
12,0.71,0.58,89,23
12,0.71,0.58,96,48
12,0.71,0.58,100,14
12,0.71,0.58,103,40
12,0.71,0.58,108,20
12,0.71,0.58,115,31
12,0.71,0.58,120,13
12,0.71,0.58,124,43
12,0.71,0.58,127,14
12,0.71,0.58,143,28
12,0.71,0.58,146,25
12,0.71,0.58,147,32
12,0.71,0.58,148,3
12,0.71,0.58,152,19
12,0.71,0.58,157,22
12,0.71,0.58,159,49
12,0.71,0.58,163,36
12,0.71,0.58,164,25
12,0.71,0.58,165,26
12,0.71,0.58,179,19
12,0.71,0.58,181,21
12,0.71,0.58,184,25
12,0.71,0.58,193,12
13,0.31,0.46,29,14
13,0.31,0.46,59,1
13,0.31,0.46,65,15
13,0.31,0.46,108,48
13,0.31,0.46,121,8
13,0.31,0.46,135,12
13,0.31,0.46,192,35
14,0.38,0.43,0,48
14,0.38,0.43,3,40
14,0.38,0.43,5,16
14,0.38,0.43,6,30
14,0.38,0.43,8,25
14,0.38,0.43,11,7
14,0.38,0.43,13,44
14,0.38,0.43,16,1
14,0.38,0.43,18,1
14,0.38,0.43,22,49
14,0.38,0.43,35,43
14,0.38,0.43,41,5
14,0.38,0.43,49,30
14,0.38,0.43,50,12
14,0.38,0.43,57,39
14,0.38,0.43,59,2
14,0.38,0.43,64,29
14,0.38,0.43,75,34
14,0.38,0.43,78,6
14,0.38,0.43,80,11
14,0.38,0.43,81,29
14,0.38,0.43,84,23
14,0.38,0.43,96,12
14,0.38,0.43,100,43
14,0.38,0.43,101,39
14,0.38,0.43,108,21
14,0.38,0.43,109,5
14,0.38,0.43,110,43
14,0.38,0.43,121,48
14,0.38,0.43,135,41
14,0.38,0.43,144,34
14,0.38,0.43,146,40
14,0.38,0.43,148,11
14,0.38,0.43,150,20
14,0.38,0.43,155,4
14,0.38,0.43,161,27
14,0.38,0.43,171,26
14,0.38,0.43,175,42
14,0.38,0.43,180,24
14,0.38,0.43,183,3
14,0.38,0.43,186,35
14,0.38,0.43,188,46
14,0.38,0.43,191,19
14,0.38,0.43,192,28
14,0.38,0.43,198,20
14,0.38,0.43,199,41
15,0.93,0.09,27,31
15,0.93,0.09,28,3
15,0.93,0.09,32,0
15,0.93,0.09,52,41
15,0.93,0.09,54,37
15,0.93,0.09,68,27
15,0.93,0.09,77,34
15,0.93,0.09,89,6
15,0.93,0.09,93,1
15,0.93,0.09,95,26
15,0.93,0.09,98,14
15,0.93,0.09,102,15
15,0.93,0.09,114,26
15,0.93,0.09,117,30
15,0.93,0.09,118,15
15,0.93,0.09,120,23
15,0.93,0.09,126,14
15,0.93,0.09,129,39
15,0.93,0.09,130,29
15,0.93,0.09,145,30
15,0.93,0.09,166,34
15,0.93,0.09,174,3
15,0.93,0.09,178,4
16,0.44,0.44,0,18
16,0.44,0.44,8,11
16,0.44,0.44,13,47
16,0.44,0.44,22,35
16,0.44,0.44,57,32
16,0.44,0.44,72,42
16,0.44,0.44,73,47
16,0.44,0.44,108,37
16,0.44,0.44,109,36
16,0.44,0.44,121,41
16,0.44,0.44,135,7
16,0.44,0.44,150,2
16,0.44,0.44,161,19
16,0.44,0.44,171,23
16,0.44,0.44,186,21
16,0.44,0.44,192,41
17,0.2,0.01,4,5
17,0.2,0.01,22,12
17,0.2,0.01,23,33
17,0.2,0.01,30,29
17,0.2,0.01,37,7
17,0.2,0.01,38,36
17,0.2,0.01,39,16
17,0.2,0.01,55,33
17,0.2,0.01,56,12
17,0.2,0.01,61,33
17,0.2,0.01,62,18
17,0.2,0.01,66,11
17,0.2,0.01,113,26
17,0.2,0.01,116,29
17,0.2,0.01,119,45
17,0.2,0.01,139,23
17,0.2,0.01,140,16
17,0.2,0.01,141,0
17,0.2,0.01,169,26
17,0.2,0.01,175,46
17,0.2,0.01,176,7
17,0.2,0.01,177,45
17,0.2,0.01,183,4
17,0.2,0.01,187,43
17,0.2,0.01,190,45
18,0.43,0.44,0,21
18,0.43,0.44,6,47
18,0.43,0.44,8,5
18,0.43,0.44,11,12
18,0.43,0.44,13,0
18,0.43,0.44,16,22
18,0.43,0.44,22,34
18,0.43,0.44,35,15
18,0.43,0.44,41,9
18,0.43,0.44,57,6
18,0.43,0.44,64,34
18,0.43,0.44,73,36
18,0.43,0.44,78,19
18,0.43,0.44,96,10
18,0.43,0.44,100,10
18,0.43,0.44,101,4
18,0.43,0.44,108,18
18,0.43,0.44,109,10
18,0.43,0.44,121,40
18,0.43,0.44,135,37
18,0.43,0.44,150,37
18,0.43,0.44,161,26
18,0.43,0.44,171,11
18,0.43,0.44,186,17
18,0.43,0.44,192,37
18,0.43,0.44,193,34
18,0.43,0.44,199,38
19,0.17,0.88,1,28
19,0.17,0.88,24,17
19,0.17,0.88,31,4
19,0.17,0.88,35,27
19,0.17,0.88,36,17
19,0.17,0.88,59,27
19,0.17,0.88,63,7
19,0.17,0.88,64,32
19,0.17,0.88,69,40
19,0.17,0.88,83,16
19,0.17,0.88,85,17
19,0.17,0.88,88,33
19,0.17,0.88,91,42
19,0.17,0.88,101,6
19,0.17,0.88,104,18
19,0.17,0.88,109,16
19,0.17,0.88,110,7
19,0.17,0.88,128,21
19,0.17,0.88,132,22
19,0.17,0.88,137,5
19,0.17,0.88,142,29
19,0.17,0.88,150,32
19,0.17,0.88,151,39
19,0.17,0.88,160,12
19,0.17,0.88,162,11
19,0.17,0.88,168,31
19,0.17,0.88,170,40
19,0.17,0.88,173,44
19,0.17,0.88,185,48
19,0.17,0.88,197,30
20,0.63,0.04,52,38
20,0.63,0.04,114,16
21,0.74,0.42,0,43
21,0.74,0.42,8,47
21,0.74,0.42,27,34
21,0.74,0.42,54,0
21,0.74,0.42,57,47
21,0.74,0.42,72,49
21,0.74,0.42,73,38
21,0.74,0.42,82,35
21,0.74,0.42,89,16
21,0.74,0.42,95,27
21,0.74,0.42,103,47
21,0.74,0.42,108,35
21,0.74,0.42,120,42
21,0.74,0.42,124,11
21,0.74,0.42,127,5
21,0.74,0.42,147,21
21,0.74,0.42,159,46
21,0.74,0.42,164,9
21,0.74,0.42,179,21
21,0.74,0.42,186,37
22,0.39,0.17,8,7
22,0.39,0.17,20,9
22,0.39,0.17,66,36
22,0.39,0.17,108,6
22,0.39,0.17,116,16
22,0.39,0.17,121,41
22,0.39,0.17,177,10
23,0.25,0.05,4,22
23,0.25,0.05,22,20
23,0.25,0.05,30,46
23,0.25,0.05,37,42
23,0.25,0.05,38,42
23,0.25,0.05,39,36
23,0.25,0.05,55,23
23,0.25,0.05,56,14
23,0.25,0.05,66,2
23,0.25,0.05,75,0
23,0.25,0.05,116,40
