r = 0.2,upperCap = 2,,,
NodeID,X,Y,EdgeTo,Capacity
0,0.66,0.46,12,2
0,0.66,0.46,73,1
1,0.39,0.89,34,2
1,0.39,0.89,44,1
1,0.39,0.89,60,1
1,0.39,0.89,63,1
1,0.39,0.89,85,2
1,0.39,0.89,90,2
2,0.75,0.36,0,2
2,0.75,0.36,9,1
2,0.75,0.36,11,1
2,0.75,0.36,26,2
2,0.75,0.36,27,1
2,0.75,0.36,71,2
2,0.75,0.36,72,1
2,0.75,0.36,73,2
3,0.48,0.49,0,2
3,0.48,0.49,11,1
3,0.48,0.49,13,2
3,0.48,0.49,14,2
3,0.48,0.49,16,2
3,0.48,0.49,18,2
3,0.48,0.49,45,2
3,0.48,0.49,49,2
3,0.48,0.49,79,2
3,0.48,0.49,80,1
3,0.48,0.49,87,2
3,0.48,0.49,94,1
3,0.48,0.49,96,1
4,0.11,0.25,29,1
4,0.11,0.25,61,2
4,0.11,0.25,65,1
5,0.27,0.56,6,2
5,0.27,0.56,13,1
5,0.27,0.56,18,1
5,0.27,0.56,36,1
5,0.27,0.56,40,2
5,0.27,0.56,59,1
5,0.27,0.56,64,1
5,0.27,0.56,79,1
5,0.27,0.56,81,2
5,0.27,0.56,86,2
5,0.27,0.56,96,2
6,0.19,0.49,13,2
6,0.19,0.49,29,1
6,0.19,0.49,40,2
6,0.19,0.49,81,2
7,0.86,0.67,9,2
7,0.86,0.67,10,1
7,0.86,0.67,12,2
7,0.86,0.67,25,2
7,0.86,0.67,82,1
7,0.86,0.67,92,2
8,0.59,0.23,72,1
8,0.59,0.23,73,1
8,0.59,0.23,78,2
8,0.59,0.23,98,1
9,0.88,0.51,12,1
10,0.88,0.72,25,1
10,0.88,0.72,92,2
11,0.59,0.45,0,2
11,0.59,0.45,12,2
11,0.59,0.45,45,1
11,0.59,0.45,72,1
11,0.59,0.45,73,1
11,0.59,0.45,94,1
12,0.71,0.58,-,-
13,0.31,0.46,40,1
14,0.38,0.43,5,1
14,0.38,0.43,6,2
14,0.38,0.43,13,1
14,0.38,0.43,16,1
14,0.38,0.43,18,1
14,0.38,0.43,40,1
14,0.38,0.43,45,2
14,0.38,0.43,75,2
14,0.38,0.43,79,2
14,0.38,0.43,96,1
15,0.93,0.09,28,2
15,0.93,0.09,77,1
15,0.93,0.09,93,1
16,0.44,0.44,11,2
16,0.44,0.44,13,1
16,0.44,0.44,18,1
16,0.44,0.44,40,1
16,0.44,0.44,45,2
17,0.2,0.01,38,2
17,0.2,0.01,62,1
18,0.43,0.44,11,1
18,0.43,0.44,13,1
18,0.43,0.44,40,2
18,0.43,0.44,45,1
19,0.17,0.88,-,-
20,0.63,0.04,8,2
20,0.63,0.04,33,2
20,0.63,0.04,93,2
20,0.63,0.04,98,2
21,0.74,0.42,0,2
21,0.74,0.42,2,1
21,0.74,0.42,9,1
21,0.74,0.42,11,2
21,0.74,0.42,12,1
21,0.74,0.42,26,2
21,0.74,0.42,27,2
21,0.74,0.42,32,1
21,0.74,0.42,57,2
21,0.74,0.42,71,2
21,0.74,0.42,72,1
21,0.74,0.42,73,2
21,0.74,0.42,82,2
21,0.74,0.42,87,2
21,0.74,0.42,89,1
22,0.39,0.17,30,1
22,0.39,0.17,33,2
22,0.39,0.17,56,2
22,0.39,0.17,62,2
22,0.39,0.17,75,2
22,0.39,0.17,78,2
23,0.25,0.05,17,1
23,0.25,0.05,22,2
23,0.25,0.05,30,1
23,0.25,0.05,62,1
23,0.25,0.05,66,2
24,0.01,0.9,19,1
24,0.01,0.9,91,2
25,0.7,0.79,42,2
25,0.7,0.79,94,2
26,0.82,0.41,0,2
26,0.82,0.41,9,2
26,0.82,0.41,27,1
26,0.82,0.41,54,2
26,0.82,0.41,71,2
26,0.82,0.41,72,1
26,0.82,0.41,73,1
27,0.83,0.36,0,1
27,0.83,0.36,9,1
27,0.83,0.36,54,2
27,0.83,0.36,73,2
27,0.83,0.36,77,1
28,0.96,0.16,54,2
28,0.96,0.16,77,2
28,0.96,0.16,93,2
29,0.06,0.37,61,1
29,0.06,0.37,65,2
30,0.42,0.03,62,2
31,0.12,0.74,19,2
31,0.12,0.74,24,1
31,0.12,0.74,35,1
31,0.12,0.74,36,1
31,0.12,0.74,59,2
31,0.12,0.74,81,1
31,0.12,0.74,83,2
31,0.12,0.74,85,1
31,0.12,0.74,91,2
32,0.89,0.29,2,2
32,0.89,0.29,26,2
32,0.89,0.29,27,2
32,0.89,0.29,28,1
32,0.89,0.29,43,2
32,0.89,0.29,54,1
32,0.89,0.29,71,2
32,0.89,0.29,77,2
32,0.89,0.29,95,1
33,0.55,0.18,8,1
33,0.55,0.18,30,2
33,0.55,0.18,57,1
33,0.55,0.18,72,1
33,0.55,0.18,73,2
33,0.55,0.18,78,2
33,0.55,0.18,98,1
34,0.55,0.77,25,2
34,0.55,0.77,44,1
34,0.55,0.77,47,1
34,0.55,0.77,60,1
34,0.55,0.77,94,2
35,0.27,0.65,5,1
35,0.27,0.65,6,1
35,0.27,0.65,13,1
35,0.27,0.65,36,2
35,0.27,0.65,40,1
35,0.27,0.65,49,1
35,0.27,0.65,59,1
35,0.27,0.65,64,1
35,0.27,0.65,69,1
35,0.27,0.65,79,1
35,0.27,0.65,81,1
35,0.27,0.65,83,1
35,0.27,0.65,85,1
36,0.08,0.62,6,1
36,0.08,0.62,76,1
36,0.08,0.62,81,2
36,0.08,0.62,83,2
36,0.08,0.62,86,1
37,0.03,0.12,4,2
37,0.03,0.12,38,2
37,0.03,0.12,51,2
37,0.03,0.12,61,2
37,0.03,0.12,65,1
37,0.03,0.12,66,2
38,0,0.01,-,-
39,0.01,0.09,4,1
39,0.01,0.09,37,2
39,0.01,0.09,38,2
39,0.01,0.09,61,1
39,0.01,0.09,66,1
40,0.28,0.47,-,-
41,0.53,0.19,8,2
41,0.53,0.19,20,1
41,0.53,0.19,22,2
41,0.53,0.19,30,2
41,0.53,0.19,33,2
41,0.53,0.19,56,1
41,0.53,0.19,57,1
41,0.53,0.19,72,1
41,0.53,0.19,73,1
41,0.53,0.19,78,1
41,0.53,0.19,98,1
42,0.76,0.95,99,2
43,0.94,0.47,9,2
43,0.94,0.47,26,2
43,0.94,0.47,27,1
43,0.94,0.47,54,1
43,0.94,0.47,71,1
