r = 0.3,upperCap = 2,,,
NodeID,X,Y,EdgeTo,Capacity
0,0.66,0.46,2,2
0,0.66,0.46,3,2
0,0.66,0.46,7,2
0,0.66,0.46,8,2
0,0.66,0.46,9,2
0,0.66,0.46,11,1
0,0.66,0.46,12,2
0,0.66,0.46,14,2
0,0.66,0.46,16,2
0,0.66,0.46,18,2
0,0.66,0.46,21,2
0,0.66,0.46,26,2
0,0.66,0.46,27,2
0,0.66,0.46,32,2
0,0.66,0.46,41,2
0,0.66,0.46,43,1
0,0.66,0.46,45,2
0,0.66,0.46,47,2
0,0.66,0.46,49,1
0,0.66,0.46,57,1
0,0.66,0.46,70,1
0,0.66,0.46,71,2
0,0.66,0.46,72,1
0,0.66,0.46,73,1
0,0.66,0.46,74,1
0,0.66,0.46,78,1
0,0.66,0.46,79,2
0,0.66,0.46,80,1
0,0.66,0.46,82,1
0,0.66,0.46,87,1
0,0.66,0.46,89,2
0,0.66,0.46,92,1
0,0.66,0.46,94,1
0,0.66,0.46,95,1
0,0.66,0.46,96,2
0,0.66,0.46,100,1
0,0.66,0.46,103,1
0,0.66,0.46,106,1
0,0.66,0.46,108,1
0,0.66,0.46,112,1
0,0.66,0.46,115,2
0,0.66,0.46,120,2
0,0.66,0.46,121,1
0,0.66,0.46,124,2
0,0.66,0.46,125,2
0,0.66,0.46,127,2
0,0.66,0.46,135,1
0,0.66,0.46,138,2
0,0.66,0.46,143,2
0,0.66,0.46,145,1
0,0.66,0.46,146,1
0,0.66,0.46,149,2
0,0.66,0.46,152,2
0,0.66,0.46,156,1
0,0.66,0.46,157,1
0,0.66,0.46,159,1
0,0.66,0.46,165,2
0,0.66,0.46,166,1
0,0.66,0.46,171,1
0,0.66,0.46,174,1
0,0.66,0.46,179,1
0,0.66,0.46,180,2
0,0.66,0.46,181,1
0,0.66,0.46,186,2
0,0.66,0.46,191,2
0,0.66,0.46,193,1
0,0.66,0.46,199,2
1,0.39,0.89,47,1
1,0.39,0.89,85,1
1,0.39,0.89,128,1
1,0.39,0.89,137,1
2,0.75,0.36,3,1
2,0.75,0.36,8,1
2,0.75,0.36,9,1
2,0.75,0.36,11,1
2,0.75,0.36,12,2
2,0.75,0.36,21,1
2,0.75,0.36,26,2
2,0.75,0.36,27,2
2,0.75,0.36,28,1
2,0.75,0.36,32,1
2,0.75,0.36,33,2
2,0.75,0.36,41,2
2,0.75,0.36,54,1
2,0.75,0.36,57,1
2,0.75,0.36,70,1
2,0.75,0.36,71,1
2,0.75,0.36,73,2
2,0.75,0.36,74,1
2,0.75,0.36,77,1
2,0.75,0.36,78,1
2,0.75,0.36,82,2
2,0.75,0.36,87,2
2,0.75,0.36,89,2
2,0.75,0.36,92,2
2,0.75,0.36,94,1
2,0.75,0.36,95,1
2,0.75,0.36,100,1
2,0.75,0.36,103,2
2,0.75,0.36,108,1
2,0.75,0.36,112,1
2,0.75,0.36,115,1
2,0.75,0.36,117,2
2,0.75,0.36,120,1
2,0.75,0.36,124,1
2,0.75,0.36,125,1
2,0.75,0.36,130,1
2,0.75,0.36,145,1
2,0.75,0.36,149,1
2,0.75,0.36,156,2
2,0.75,0.36,157,1
2,0.75,0.36,159,2
2,0.75,0.36,164,1
2,0.75,0.36,166,2
2,0.75,0.36,174,2
2,0.75,0.36,178,2
2,0.75,0.36,179,1
2,0.75,0.36,191,2
3,0.48,0.49,6,1
3,0.48,0.49,8,1
3,0.48,0.49,14,2
3,0.48,0.49,21,1
3,0.48,0.49,40,1
3,0.48,0.49,47,2
3,0.48,0.49,49,2
3,0.48,0.49,94,2
3,0.48,0.49,108,1
3,0.48,0.49,112,1
3,0.48,0.49,127,1
3,0.48,0.49,133,2
3,0.48,0.49,161,2
3,0.48,0.49,171,1
3,0.48,0.49,191,2
3,0.48,0.49,192,1
4,0.11,0.25,6,2
4,0.11,0.25,17,1
4,0.11,0.25,23,1
4,0.11,0.25,29,2
4,0.11,0.25,39,2
4,0.11,0.25,40,1
4,0.11,0.25,50,1
4,0.11,0.25,53,2
4,0.11,0.25,61,1
4,0.11,0.25,65,2
4,0.11,0.25,66,1
4,0.11,0.25,116,2
4,0.11,0.25,119,2
4,0.11,0.25,140,2
4,0.11,0.25,155,2
4,0.11,0.25,175,2
5,0.27,0.56,3,2
5,0.27,0.56,6,1
5,0.27,0.56,14,2
5,0.27,0.56,29,1
5,0.27,0.56,40,1
5,0.27,0.56,49,1
5,0.27,0.56,50,1
5,0.27,0.56,53,1
5,0.27,0.56,59,2
5,0.27,0.56,79,1
5,0.27,0.56,83,2
5,0.27,0.56,85,2
5,0.27,0.56,105,2
5,0.27,0.56,128,1
5,0.27,0.56,131,1
5,0.27,0.56,144,2
5,0.27,0.56,150,1
5,0.27,0.56,155,2
5,0.27,0.56,171,2
5,0.27,0.56,182,2
5,0.27,0.56,191,1
5,0.27,0.56,192,1
6,0.19,0.49,29,2
6,0.19,0.49,40,1
6,0.19,0.49,53,1
6,0.19,0.49,65,2
6,0.19,0.49,144,2
6,0.19,0.49,155,1
6,0.19,0.49,192,2
7,0.86,0.67,10,2
7,0.86,0.67,26,1
7,0.86,0.67,47,1
7,0.86,0.67,82,2
7,0.86,0.67,94,2
7,0.86,0.67,103,1
7,0.86,0.67,157,2
8,0.59,0.23,20,2
8,0.59,0.23,26,2
8,0.59,0.23,33,1
8,0.59,0.23,89,2
8,0.59,0.23,103,1
8,0.59,0.23,112,1
8,0.59,0.23,157,1
8,0.59,0.23,161,2
9,0.88,0.51,7,2
9,0.88,0.51,10,2
9,0.88,0.51,21,2
9,0.88,0.51,26,1
9,0.88,0.51,32,1
9,0.88,0.51,54,2
9,0.88,0.51,71,2
9,0.88,0.51,74,2
9,0.88,0.51,82,2
9,0.88,0.51,89,2
9,0.88,0.51,94,1
9,0.88,0.51,103,1
9,0.88,0.51,120,2
9,0.88,0.51,127,2
9,0.88,0.51,157,1
10,0.88,0.72,94,2
10,0.88,0.72,103,1
11,0.59,0.45,3,1
11,0.59,0.45,8,1
11,0.59,0.45,9,2
11,0.59,0.45,14,1
11,0.59,0.45,21,1
11,0.59,0.45,26,1
11,0.59,0.45,33,1
11,0.59,0.45,41,2
11,0.59,0.45,47,2
11,0.59,0.45,49,1
11,0.59,0.45,70,1
11,0.59,0.45,71,1
11,0.59,0.45,79,1
11,0.59,0.45,89,1
11,0.59,0.45,94,1
11,0.59,0.45,100,1
11,0.59,0.45,103,2
11,0.59,0.45,108,2
11,0.59,0.45,112,1
11,0.59,0.45,124,2
11,0.59,0.45,127,1
11,0.59,0.45,149,1
11,0.59,0.45,157,2
11,0.59,0.45,161,1
11,0.59,0.45,171,2
11,0.59,0.45,179,1
11,0.59,0.45,191,1
11,0.59,0.45,198,2
12,0.71,0.58,3,1
12,0.71,0.58,7,2
12,0.71,0.58,9,2
12,0.71,0.58,10,1
12,0.71,0.58,11,1
12,0.71,0.58,21,1
12,0.71,0.58,25,1
12,0.71,0.58,26,1
12,0.71,0.58,27,2
12,0.71,0.58,45,1
12,0.71,0.58,47,2
12,0.71,0.58,49,1
12,0.71,0.58,60,1
12,0.71,0.58,70,1
12,0.71,0.58,71,2
12,0.71,0.58,74,1
12,0.71,0.58,79,1
12,0.71,0.58,82,1
12,0.71,0.58,89,2
12,0.71,0.58,94,1
12,0.71,0.58,100,2
12,0.71,0.58,103,2
12,0.71,0.58,108,1
12,0.71,0.58,115,1
12,0.71,0.58,120,2
12,0.71,0.58,124,2
12,0.71,0.58,125,2
12,0.71,0.58,127,1
12,0.71,0.58,133,2
12,0.71,0.58,147,1
12,0.71,0.58,149,1
12,0.71,0.58,157,2
12,0.71,0.58,164,2
12,0.71,0.58,166,1
12,0.71,0.58,179,2
12,0.71,0.58,191,1
13,0.31,0.46,3,2
13,0.31,0.46,4,1
13,0.31,0.46,5,1
13,0.31,0.46,6,1
13,0.31,0.46,11,2
13,0.31,0.46,14,1
13,0.31,0.46,16,1
13,0.31,0.46,18,1
13,0.31,0.46,29,1
13,0.31,0.46,35,2
13,0.31,0.46,40,2
13,0.31,0.46,45,1
13,0.31,0.46,49,2
13,0.31,0.46,50,1
13,0.31,0.46,53,1
13,0.31,0.46,59,1
13,0.31,0.46,64,1
13,0.31,0.46,65,2
13,0.31,0.46,67,2
13,0.31,0.46,75,1
13,0.31,0.46,79,1
13,0.31,0.46,81,2
13,0.31,0.46,84,1
13,0.31,0.46,86,2
13,0.31,0.46,96,2
13,0.31,0.46,101,1
13,0.31,0.46,108,2
13,0.31,0.46,109,1
13,0.31,0.46,110,2
13,0.31,0.46,112,2
13,0.31,0.46,119,2
13,0.31,0.46,121,2
13,0.31,0.46,134,1
13,0.31,0.46,135,1
13,0.31,0.46,144,1
13,0.31,0.46,150,1
13,0.31,0.46,155,1
13,0.31,0.46,161,1
13,0.31,0.46,171,2
13,0.31,0.46,175,2
13,0.31,0.46,183,2
13,0.31,0.46,186,2
13,0.31,0.46,191,1
13,0.31,0.46,192,1
13,0.31,0.46,198,2
14,0.38,0.43,6,2
14,0.38,0.43,8,2
14,0.38,0.43,40,1
14,0.38,0.43,41,2
14,0.38,0.43,49,1
14,0.38,0.43,59,2
14,0.38,0.43,94,1
14,0.38,0.43,108,2
14,0.38,0.43,112,2
14,0.38,0.43,144,2
14,0.38,0.43,150,1
14,0.38,0.43,155,2
14,0.38,0.43,161,1
14,0.38,0.43,171,1
14,0.38,0.43,191,1
14,0.38,0.43,192,2
15,0.93,0.09,32,2
15,0.93,0.09,54,2
15,0.93,0.09,68,1
15,0.93,0.09,89,2
15,0.93,0.09,98,1
15,0.93,0.09,120,2
16,0.44,0.44,3,2
16,0.44,0.44,5,2
16,0.44,0.44,6,2
16,0.44,0.44,8,1
16,0.44,0.44,11,2
16,0.44,0.44,14,2
16,0.44,0.44,33,1
16,0.44,0.44,35,2
16,0.44,0.44,40,1
16,0.44,0.44,41,2
16,0.44,0.44,45,1
16,0.44,0.44,49,1
16,0.44,0.44,50,2
16,0.44,0.44,67,1
16,0.44,0.44,78,1
16,0.44,0.44,79,2
16,0.44,0.44,94,1
16,0.44,0.44,100,2
16,0.44,0.44,108,2
16,0.44,0.44,110,2
16,0.44,0.44,112,2
16,0.44,0.44,121,2
16,0.44,0.44,150,1
16,0.44,0.44,156,2
16,0.44,0.44,161,2
16,0.44,0.44,171,2
16,0.44,0.44,175,2
16,0.44,0.44,191,1
16,0.44,0.44,192,1
16,0.44,0.44,198,2
17,0.2,0.01,23,1
17,0.2,0.01,39,1
17,0.2,0.01,61,1
17,0.2,0.01,66,1
17,0.2,0.01,116,2
17,0.2,0.01,119,2
17,0.2,0.01,140,2
18,0.43,0.44,3,1
18,0.43,0.44,5,1
18,0.43,0.44,6,1
18,0.43,0.44,8,2
18,0.43,0.44,11,2
18,0.43,0.44,14,2
18,0.43,0.44,16,2
18,0.43,0.44,22,2
18,0.43,0.44,33,1
18,0.43,0.44,35,1
18,0.43,0.44,40,2
18,0.43,0.44,41,2
18,0.43,0.44,45,2
18,0.43,0.44,49,2
18,0.43,0.44,50,2
18,0.43,0.44,67,1
18,0.43,0.44,73,1
18,0.43,0.44,78,2
18,0.43,0.44,79,1
18,0.43,0.44,94,2
18,0.43,0.44,96,1
18,0.43,0.44,100,1
18,0.43,0.44,101,1
18,0.43,0.44,108,1
18,0.43,0.44,109,1
18,0.43,0.44,110,1
18,0.43,0.44,112,2
18,0.43,0.44,121,1
18,0.43,0.44,150,2
18,0.43,0.44,156,1
18,0.43,0.44,161,1
18,0.43,0.44,171,2
18,0.43,0.44,175,1
18,0.43,0.44,191,2
18,0.43,0.44,192,2
18,0.43,0.44,198,2
19,0.17,0.88,1,1
19,0.17,0.88,31,1
19,0.17,0.88,35,1
19,0.17,0.88,59,1
19,0.17,0.88,69,2
19,0.17,0.88,83,1
19,0.17,0.88,85,1
19,0.17,0.88,88,2
19,0.17,0.88,91,2
19,0.17,0.88,101,1
19,0.17,0.88,109,1
19,0.17,0.88,110,1
19,0.17,0.88,128,2
19,0.17,0.88,132,1
19,0.17,0.88,137,1
19,0.17,0.88,142,2
19,0.17,0.88,150,1
19,0.17,0.88,162,1
19,0.17,0.88,168,2
19,0.17,0.88,173,1
19,0.17,0.88,197,1
20,0.63,0.04,-,-
21,0.74,0.42,7,1
21,0.74,0.42,8,1
21,0.74,0.42,26,2
21,0.74,0.42,32,2
21,0.74,0.42,54,1
21,0.74,0.42,71,1
21,0.74,0.42,74,1
21,0.74,0.42,82,2
