r = 0.2,upperCap = 2,,,
NodeID,X,Y,EdgeTo,Capacity
0,0.66,0.46,2,2
0,0.66,0.46,3,2
0,0.66,0.46,12,1
0,0.66,0.46,21,1
0,0.66,0.46,26,1
0,0.66,0.46,45,2
0,0.66,0.46,57,2
0,0.66,0.46,71,2
0,0.66,0.46,73,2
0,0.66,0.46,80,2
0,0.66,0.46,87,1
0,0.66,0.46,92,2
0,0.66,0.46,100,2
0,0.66,0.46,103,2
0,0.66,0.46,115,2
0,0.66,0.46,124,1
0,0.66,0.46,125,2
0,0.66,0.46,138,2
0,0.66,0.46,146,1
0,0.66,0.46,148,1
0,0.66,0.46,149,2
0,0.66,0.46,156,2
0,0.66,0.46,157,1
0,0.66,0.46,165,1
0,0.66,0.46,166,2
0,0.66,0.46,180,2
0,0.66,0.46,193,2
1,0.39,0.89,60,1
2,0.75,0.36,9,1
2,0.75,0.36,21,2
2,0.75,0.36,71,1
2,0.75,0.36,95,2
2,0.75,0.36,145,1
2,0.75,0.36,156,1
2,0.75,0.36,157,2
2,0.75,0.36,165,2
2,0.75,0.36,199,2
3,0.48,0.49,14,2
3,0.48,0.49,45,2
3,0.48,0.49,79,2
3,0.48,0.49,80,1
3,0.48,0.49,96,1
3,0.48,0.49,121,1
3,0.48,0.49,135,1
3,0.48,0.49,148,2
3,0.48,0.49,171,1
3,0.48,0.49,180,2
3,0.48,0.49,186,2
4,0.11,0.25,29,2
4,0.11,0.25,37,1
4,0.11,0.25,50,2
4,0.11,0.25,53,1
4,0.11,0.25,61,2
4,0.11,0.25,65,1
4,0.11,0.25,67,1
4,0.11,0.25,119,2
4,0.11,0.25,139,1
4,0.11,0.25,183,1
4,0.11,0.25,187,2
5,0.27,0.56,6,2
5,0.27,0.56,14,1
5,0.27,0.56,36,2
5,0.27,0.56,64,1
5,0.27,0.56,79,1
5,0.27,0.56,96,2
5,0.27,0.56,101,2
5,0.27,0.56,121,1
5,0.27,0.56,135,2
5,0.27,0.56,144,2
5,0.27,0.56,150,1
5,0.27,0.56,160,2
6,0.19,0.49,14,2
6,0.19,0.49,121,1
6,0.19,0.49,134,1
6,0.19,0.49,135,2
6,0.19,0.49,144,1
6,0.19,0.49,150,1
6,0.19,0.49,196,2
7,0.86,0.67,9,1
7,0.86,0.67,10,2
7,0.86,0.67,25,1
7,0.86,0.67,70,2
7,0.86,0.67,74,2
7,0.86,0.67,82,2
7,0.86,0.67,92,2
7,0.86,0.67,127,1
7,0.86,0.67,149,1
7,0.86,0.67,152,1
8,0.59,0.23,156,1
8,0.59,0.23,186,2
9,0.88,0.51,21,1
9,0.88,0.51,58,1
9,0.88,0.51,71,1
9,0.88,0.51,92,1
9,0.88,0.51,157,2
9,0.88,0.51,165,1
10,0.88,0.72,25,1
10,0.88,0.72,46,2
10,0.88,0.72,74,2
10,0.88,0.72,92,1
10,0.88,0.72,127,2
10,0.88,0.72,152,2
11,0.59,0.45,0,2
11,0.59,0.45,2,2
11,0.59,0.45,3,1
11,0.59,0.45,12,2
11,0.59,0.45,16,2
11,0.59,0.45,18,1
11,0.59,0.45,21,1
11,0.59,0.45,45,2
11,0.59,0.45,57,1
11,0.59,0.45,72,2
11,0.59,0.45,73,1
11,0.59,0.45,79,2
11,0.59,0.45,80,1
11,0.59,0.45,87,1
11,0.59,0.45,96,1
11,0.59,0.45,100,1
11,0.59,0.45,103,1
11,0.59,0.45,106,2
11,0.59,0.45,115,1
11,0.59,0.45,125,2
11,0.59,0.45,138,1
11,0.59,0.45,146,2
11,0.59,0.45,148,2
11,0.59,0.45,156,1
11,0.59,0.45,165,2
11,0.59,0.45,171,1
11,0.59,0.45,180,1
11,0.59,0.45,186,2
11,0.59,0.45,193,1
11,0.59,0.45,199,1
12,0.71,0.58,7,1
12,0.71,0.58,9,1
12,0.71,0.58,21,2
12,0.71,0.58,70,1
12,0.71,0.58,80,1
12,0.71,0.58,87,1
12,0.71,0.58,92,2
12,0.71,0.58,100,1
12,0.71,0.58,115,1
12,0.71,0.58,124,2
12,0.71,0.58,127,2
12,0.71,0.58,149,1
12,0.71,0.58,152,1
12,0.71,0.58,165,2
12,0.71,0.58,180,1
12,0.71,0.58,193,2
13,0.31,0.46,3,1
13,0.31,0.46,5,1
13,0.31,0.46,6,2
13,0.31,0.46,14,2
13,0.31,0.46,18,1
13,0.31,0.46,50,1
13,0.31,0.46,79,2
13,0.31,0.46,96,1
13,0.31,0.46,109,2
13,0.31,0.46,121,1
13,0.31,0.46,135,1
13,0.31,0.46,146,2
13,0.31,0.46,150,1
13,0.31,0.46,171,1
13,0.31,0.46,192,2
14,0.38,0.43,171,1
14,0.38,0.43,186,1
15,0.93,0.09,52,1
16,0.44,0.44,3,1
16,0.44,0.44,13,1
16,0.44,0.44,14,2
16,0.44,0.44,18,2
16,0.44,0.44,40,1
16,0.44,0.44,45,2
16,0.44,0.44,79,1
16,0.44,0.44,96,1
16,0.44,0.44,100,1
16,0.44,0.44,121,1
16,0.44,0.44,135,2
16,0.44,0.44,138,2
16,0.44,0.44,146,1
16,0.44,0.44,148,1
16,0.44,0.44,161,2
16,0.44,0.44,171,1
16,0.44,0.44,186,2
16,0.44,0.44,192,2
17,0.2,0.01,23,2
17,0.2,0.01,66,2
17,0.2,0.01,113,2
17,0.2,0.01,116,2
17,0.2,0.01,139,1
17,0.2,0.01,140,1
17,0.2,0.01,169,1
17,0.2,0.01,187,1
17,0.2,0.01,190,2
18,0.43,0.44,3,2
18,0.43,0.44,5,2
18,0.43,0.44,14,2
18,0.43,0.44,45,1
18,0.43,0.44,79,2
18,0.43,0.44,96,1
18,0.43,0.44,121,2
18,0.43,0.44,135,1
18,0.43,0.44,138,1
18,0.43,0.44,146,1
18,0.43,0.44,148,2
18,0.43,0.44,161,1
18,0.43,0.44,171,2
18,0.43,0.44,186,1
18,0.43,0.44,192,2
19,0.17,0.88,88,2
19,0.17,0.88,90,2
19,0.17,0.88,162,1
20,0.63,0.04,8,1
20,0.63,0.04,41,2
20,0.63,0.04,56,2
20,0.63,0.04,93,1
20,0.63,0.04,107,1
20,0.63,0.04,118,1
20,0.63,0.04,129,1
20,0.63,0.04,145,1
20,0.63,0.04,194,2
21,0.74,0.42,71,2
21,0.74,0.42,156,1
21,0.74,0.42,157,2
21,0.74,0.42,165,2
22,0.39,0.17,23,2
22,0.39,0.17,41,1
22,0.39,0.17,56,2
22,0.39,0.17,78,1
22,0.39,0.17,141,2
22,0.39,0.17,161,2
22,0.39,0.17,175,2
22,0.39,0.17,176,2
22,0.39,0.17,183,2
22,0.39,0.17,186,1
22,0.39,0.17,190,1
23,0.25,0.05,66,2
23,0.25,0.05,116,1
23,0.25,0.05,141,2
23,0.25,0.05,183,1
24,0.01,0.9,19,2
24,0.01,0.9,31,1
24,0.01,0.9,132,2
24,0.01,0.9,137,2
25,0.7,0.79,34,2
25,0.7,0.79,60,2
25,0.7,0.79,92,2
25,0.7,0.79,123,1
25,0.7,0.79,127,1
25,0.7,0.79,152,2
26,0.82,0.41,2,1
26,0.82,0.41,9,1
26,0.82,0.41,21,2
26,0.82,0.41,54,2
26,0.82,0.41,58,1
26,0.82,0.41,71,2
26,0.82,0.41,82,2
26,0.82,0.41,95,1
26,0.82,0.41,115,2
26,0.82,0.41,149,1
26,0.82,0.41,157,2
26,0.82,0.41,165,1
26,0.82,0.41,166,2
26,0.82,0.41,174,1
27,0.83,0.36,0,2
27,0.83,0.36,2,1
27,0.83,0.36,9,2
27,0.83,0.36,21,2
27,0.83,0.36,26,1
27,0.83,0.36,32,1
27,0.83,0.36,43,1
27,0.83,0.36,54,2
27,0.83,0.36,58,2
27,0.83,0.36,71,2
27,0.83,0.36,72,1
27,0.83,0.36,73,1
27,0.83,0.36,77,1
27,0.83,0.36,82,2
27,0.83,0.36,89,2
27,0.83,0.36,95,2
27,0.83,0.36,103,1
27,0.83,0.36,115,2
27,0.83,0.36,117,2
27,0.83,0.36,120,1
27,0.83,0.36,124,1
27,0.83,0.36,130,1
27,0.83,0.36,143,2
27,0.83,0.36,145,1
27,0.83,0.36,157,1
27,0.83,0.36,159,1
27,0.83,0.36,164,2
27,0.83,0.36,165,2
27,0.83,0.36,166,1
27,0.83,0.36,174,1
27,0.83,0.36,179,1
27,0.83,0.36,193,2
28,0.96,0.16,15,1
28,0.96,0.16,52,1
28,0.96,0.16,54,2
29,0.06,0.37,6,2
29,0.06,0.37,61,2
29,0.06,0.37,119,2
29,0.06,0.37,134,2
29,0.06,0.37,144,1
30,0.42,0.03,22,1
30,0.42,0.03,23,2
30,0.42,0.03,41,1
30,0.42,0.03,56,2
30,0.42,0.03,107,2
30,0.42,0.03,141,1
30,0.42,0.03,175,1
30,0.42,0.03,176,2
30,0.42,0.03,190,1
30,0.42,0.03,194,2
31,0.12,0.74,19,1
31,0.12,0.74,36,1
31,0.12,0.74,85,1
31,0.12,0.74,101,1
31,0.12,0.74,109,2
31,0.12,0.74,131,1
31,0.12,0.74,137,1
31,0.12,0.74,144,2
31,0.12,0.74,150,1
31,0.12,0.74,160,1
31,0.12,0.74,182,2
31,0.12,0.74,189,1
31,0.12,0.74,196,2
32,0.89,0.29,2,1
32,0.89,0.29,21,2
32,0.89,0.29,26,1
32,0.89,0.29,28,2
32,0.89,0.29,43,1
32,0.89,0.29,54,1
32,0.89,0.29,58,2
32,0.89,0.29,71,1
32,0.89,0.29,77,2
32,0.89,0.29,95,1
32,0.89,0.29,117,1
32,0.89,0.29,120,2
32,0.89,0.29,126,1
32,0.89,0.29,130,1
32,0.89,0.29,145,2
32,0.89,0.29,157,1
32,0.89,0.29,166,1
32,0.89,0.29,174,1
33,0.55,0.18,8,1
33,0.55,0.18,20,2
33,0.55,0.18,22,1
33,0.55,0.18,30,1
33,0.55,0.18,41,2
33,0.55,0.18,56,1
33,0.55,0.18,57,1
33,0.55,0.18,73,2
33,0.55,0.18,78,2
33,0.55,0.18,98,1
33,0.55,0.18,107,2
33,0.55,0.18,118,2
33,0.55,0.18,141,1
33,0.55,0.18,145,2
33,0.55,0.18,156,1
33,0.55,0.18,161,1
33,0.55,0.18,175,1
33,0.55,0.18,176,2
33,0.55,0.18,186,1
33,0.55,0.18,194,2
33,0.55,0.18,199,2
34,0.55,0.77,1,2
34,0.55,0.77,60,1
34,0.55,0.77,80,2
34,0.55,0.77,122,1
34,0.55,0.77,127,2
34,0.55,0.77,128,1
34,0.55,0.77,180,2
35,0.27,0.65,5,2
35,0.27,0.65,6,1
35,0.27,0.65,13,2
35,0.27,0.65,31,2
35,0.27,0.65,36,2
35,0.27,0.65,59,1
35,0.27,0.65,64,2
35,0.27,0.65,79,2
35,0.27,0.65,83,1
35,0.27,0.65,85,1
35,0.27,0.65,101,1
35,0.27,0.65,109,1
35,0.27,0.65,128,2
35,0.27,0.65,135,1
35,0.27,0.65,144,1
35,0.27,0.65,150,2
35,0.27,0.65,160,1
35,0.27,0.65,185,1
35,0.27,0.65,192,1
36,0.08,0.62,6,1
36,0.08,0.62,53,1
36,0.08,0.62,131,2
36,0.08,0.62,134,2
36,0.08,0.62,144,2
36,0.08,0.62,150,2
36,0.08,0.62,160,1
36,0.08,0.62,182,1
36,0.08,0.62,189,2
36,0.08,0.62,196,2
37,0.03,0.12,61,1
37,0.03,0.12,65,2
37,0.03,0.12,66,2
37,0.03,0.12,119,1
38,0,0.01,17,2
38,0,0.01,37,2
38,0,0.01,39,1
38,0,0.01,61,2
38,0,0.01,139,2
38,0,0.01,140,2
38,0,0.01,169,2
38,0,0.01,187,2
39,0.01,0.09,4,2
39,0.01,0.09,37,1
39,0.01,0.09,55,2
39,0.01,0.09,61,1
39,0.01,0.09,66,2
39,0.01,0.09,139,1
39,0.01,0.09,140,2
39,0.01,0.09,169,2
39,0.01,0.09,187,2
40,0.28,0.47,5,1
40,0.28,0.47,6,1
40,0.28,0.47,13,1
40,0.28,0.47,14,1
40,0.28,0.47,18,1
40,0.28,0.47,35,1
40,0.28,0.47,50,1
40,0.28,0.47,59,1
40,0.28,0.47,79,2
40,0.28,0.47,96,2
40,0.28,0.47,109,1
40,0.28,0.47,121,1
40,0.28,0.47,135,2
40,0.28,0.47,144,2
40,0.28,0.47,150,1
40,0.28,0.47,171,2
40,0.28,0.47,192,2
41,0.53,0.19,8,1
41,0.53,0.19,141,2
41,0.53,0.19,156,1
41,0.53,0.19,186,2
42,0.76,0.95,25,2
42,0.76,0.95,46,2
42,0.76,0.95,48,1
