r = 0.3,upperCap = 50,,,
NodeID,X,Y,EdgeTo,Capacity
0,0.66,0.46,2,49
0,0.66,0.46,3,10
0,0.66,0.46,8,49
0,0.66,0.46,9,37
0,0.66,0.46,11,42
0,0.66,0.46,12,9
0,0.66,0.46,14,19
0,0.66,0.46,16,44
0,0.66,0.46,18,42
0,0.66,0.46,21,39
0,0.66,0.46,26,37
0,0.66,0.46,27,5
0,0.66,0.46,43,15
0,0.66,0.46,57,31
0,0.66,0.46,70,19
0,0.66,0.46,71,48
0,0.66,0.46,74,19
0,0.66,0.46,78,25
0,0.66,0.46,82,49
0,0.66,0.46,87,14
0,0.66,0.46,73,18
0,0.66,0.46,89,18
0,0.66,0.46,92,22
1,0.39,0.89,19,15
1,0.39,0.89,35,14
1,0.39,0.89,48,5
1,0.39,0.89,60,21
1,0.39,0.89,63,32
1,0.39,0.89,85,41
1,0.39,0.89,90,21
2,0.75,0.36,11,26
2,0.75,0.36,12,2
2,0.75,0.36,27,31
2,0.75,0.36,58,45
2,0.75,0.36,70,14
2,0.75,0.36,82,8
2,0.75,0.36,92,5
3,0.48,0.49,2,37
3,0.48,0.49,8,19
3,0.48,0.49,11,25
3,0.48,0.49,12,15
3,0.48,0.49,14,27
3,0.48,0.49,40,28
3,0.48,0.49,75,16
3,0.48,0.49,78,33
4,0.11,0.25,6,1
4,0.11,0.25,17,7
4,0.11,0.25,22,13
4,0.11,0.25,23,22
4,0.11,0.25,29,41
4,0.11,0.25,40,14
4,0.11,0.25,53,16
4,0.11,0.25,55,49
4,0.11,0.25,61,50
4,0.11,0.25,65,15
4,0.11,0.25,75,42
5,0.27,0.56,3,40
5,0.27,0.56,14,43
5,0.27,0.56,16,38
5,0.27,0.56,29,30
5,0.27,0.56,31,18
5,0.27,0.56,36,26
5,0.27,0.56,40,38
5,0.27,0.56,53,10
5,0.27,0.56,59,5
5,0.27,0.56,75,39
5,0.27,0.56,81,35
5,0.27,0.56,85,33
6,0.19,0.49,3,11
6,0.19,0.49,5,30
6,0.19,0.49,14,36
6,0.19,0.49,16,43
6,0.19,0.49,29,11
6,0.19,0.49,31,46
6,0.19,0.49,36,1
6,0.19,0.49,40,18
6,0.19,0.49,53,25
6,0.19,0.49,59,7
6,0.19,0.49,65,4
6,0.19,0.49,75,32
6,0.19,0.49,81,44
7,0.86,0.67,0,38
7,0.86,0.67,9,48
7,0.86,0.67,12,2
7,0.86,0.67,21,38
7,0.86,0.67,26,12
7,0.86,0.67,42,45
7,0.86,0.67,43,30
7,0.86,0.67,46,17
7,0.86,0.67,58,5
7,0.86,0.67,70,12
7,0.86,0.67,71,12
7,0.86,0.67,74,31
7,0.86,0.67,80,8
7,0.86,0.67,82,2
7,0.86,0.67,87,40
7,0.86,0.67,92,17
7,0.86,0.67,94,49
8,0.59,0.23,2,35
8,0.59,0.23,11,4
8,0.59,0.23,14,5
8,0.59,0.23,27,21
8,0.59,0.23,56,8
8,0.59,0.23,75,43
8,0.59,0.23,78,42
9,0.88,0.51,2,19
9,0.88,0.51,11,9
9,0.88,0.51,12,38
9,0.88,0.51,27,37
9,0.88,0.51,58,12
9,0.88,0.51,70,50
9,0.88,0.51,74,46
9,0.88,0.51,82,11
9,0.88,0.51,87,20
9,0.88,0.51,89,31
9,0.88,0.51,92,49
10,0.88,0.72,7,49
10,0.88,0.72,9,15
10,0.88,0.72,12,9
10,0.88,0.72,25,49
10,0.88,0.72,42,33
10,0.88,0.72,43,15
10,0.88,0.72,46,5
